epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.93594,1.09794,0.43421,1,1.03881,2.858e-05,2.858e-05,2.858e-05
2,6.26602,1.07807,0.59211,1,0.98603,6.79132e-05,6.79132e-05,6.79132e-05
3,9.12563,1.02008,0.82895,1,0.89365,0.000103002,0.000103002,0.000103002
4,11.9085,0.92133,0.96053,1,0.72818,0.000133847,0.000133847,0.000133847
5,14.6701,0.77405,1,1,0.60416,0.000160448,0.000160448,0.000160448
6,17.4532,0.69115,1,1,0.49709,0.000182805,0.000182805,0.000182805
7,20.6108,0.56393,1,1,0.35168,0.000200917,0.000200917,0.000200917
8,23.8619,0.44318,1,1,0.23487,0.000214786,0.000214786,0.000214786
9,27.0762,0.37115,1,1,0.16317,0.00022441,0.00022441,0.00022441
10,30.4334,0.29066,1,1,0.09457,0.00022979,0.00022979,0.00022979
11,33.7938,0.21501,1,1,0.07287,0.000230926,0.000230926,0.000230926
12,37.0159,0.17148,1,1,0.0511,0.000227818,0.000227818,0.000227818
13,40.7358,0.14513,1,1,0.04085,0.000220466,0.000220466,0.000220466
14,44.5451,0.16941,1,1,0.02258,0.00020887,0.00020887,0.00020887
15,47.9516,0.08625,1,1,0.02157,0.000193029,0.000193029,0.000193029
16,51.2051,0.06043,1,1,0.01931,0.000172945,0.000172945,0.000172945
17,54.3856,0.06799,1,1,0.01772,0.000148616,0.000148616,0.000148616
18,57.5651,0.06185,1,1,0.01361,0.000120043,0.000120043,0.000120043
19,60.6835,0.09193,1,1,0.01467,8.72262e-05,8.72262e-05,8.72262e-05
20,64.0383,0.05755,1,1,0.01703,5.0165e-05,5.0165e-05,5.0165e-05
