epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,83.6219,1.97636,0.59722,0.9375,1.45793,0.00019994,0.00019994,0.00019994
2,168.247,1.0896,0.89583,0.99537,0.47211,0.000387395,0.000387395,0.000387395
3,251.141,0.41972,0.98727,1,0.11251,0.000554295,0.000554295,0.000554295
4,330.274,0.13386,0.99653,1,0.02751,0.000654804,0.000654804,0.000654804
5,411.881,0.04665,1,1,0.00878,0.000616738,0.000616738,0.000616738
6,493.294,0.04934,0.99884,1,0.00651,0.000578672,0.000578672,0.000578672
7,575.193,0.02253,1,1,0.00262,0.000540607,0.000540607,0.000540607
8,653.869,0.02492,1,1,0.00304,0.000502541,0.000502541,0.000502541
9,733.852,0.01995,1,1,0.00156,0.000464476,0.000464476,0.000464476
10,815.411,0.0163,1,1,0.00145,0.000426411,0.000426411,0.000426411
11,898.901,0.0218,1,1,0.00093,0.000388345,0.000388345,0.000388345
12,979.224,0.02067,1,1,0.00074,0.00035028,0.00035028,0.00035028
13,1059.94,0.0133,1,1,0.00061,0.000312214,0.000312214,0.000312214
14,1141.6,0.01044,1,1,0.00063,0.000274148,0.000274148,0.000274148
15,1223.78,0.01475,1,1,0.00057,0.000236083,0.000236083,0.000236083
16,1306.42,0.00751,1,1,0.00054,0.000198018,0.000198018,0.000198018
17,1386.8,0.01479,1,1,0.00072,0.000159952,0.000159952,0.000159952
18,1468.71,0.0066,1,1,0.0005,0.000121887,0.000121887,0.000121887
19,1549.96,0.0145,1,1,0.0005,8.3821e-05,8.3821e-05,8.3821e-05
20,1631.54,0.00494,1,1,0.00054,4.57555e-05,4.57555e-05,4.57555e-05
